ST,PUMA,GEOID,SEX,RACE,EDUCATION,AGEG,alzheimer_prob,PWGTP
23,500,2300500,Female,Other,14,70-74,4.981624362,8
23,200,2300200,Female,Other,12,80-84,18.27410738,5
23,200,2300200,Male,Other,14,85+,27.78173331,3
23,200,2300200,Male,Other,19,65-69,1.453025048,18
23,200,2300200,Female,Other,18,65-69,1.833980414,20
23,1000,2301000,Male,Other,18,65-69,1.625171798,48
23,1000,2301000,Female,Other,14,70-74,4.981624362,48
23,200,2300200,Female,Other,18,65-69,1.833980414,4
23,200,2300200,Male,Other,14,70-74,4.43061433,4
23,400,2300400,Male,Other,12,70-74,5.499823433,15
23,400,2300400,Female,Other,12,70-74,6.175212911,14
23,600,2300600,Male,Other,0,65-69,11.3415911,29
23,400,2300400,Male,Other,14,70-74,4.43061433,17
23,300,2300300,Female,Other,24,80-84,5.404095231,14
23,900,2300900,Female,Other,16,85+,25.73585981,18
23,100,2300100,Male,Other,16,70-74,3.561434185,18
23,100,2300100,Female,Other,14,70-74,4.981624362,15
23,800,2300800,Male,Other,18,65-69,1.625171798,7
23,500,2300500,Male,Other,16,65-69,2.031756168,6
23,500,2300500,Female,Other,18,65-69,1.833980414,8
23,1000,2301000,Male,Other,12,65-69,3.164907227,36
23,300,2300300,Male,Other,12,75-79,9.154741059,14
23,300,2300300,Female,Other,12,75-79,10.23037239,10
23,200,2300200,Male,Other,14,70-74,4.43061433,5
23,200,2300200,Female,Other,14,70-74,4.981624362,5
23,800,2300800,Female,Other,12,70-74,6.175212911,60
23,800,2300800,Male,Other,12,70-74,5.499823433,64
23,900,2300900,Male,Other,16,70-74,3.561434185,46
23,900,2300900,Female,Other,12,65-69,3.564379297,49
23,300,2300300,Male,Other,18,75-79,4.846791248,8
23,900,2300900,Female,Other,16,85+,25.73585981,20
23,400,2300400,Male,Other,16,65-69,2.031756168,5
23,100,2300100,Female,Other,12,70-74,6.175212911,15
23,200,2300200,Female,Other,16,80-84,12.42545854,4
23,200,2300200,Male,Other,18,85+,19.6207019,3
23,800,2300800,Male,Other,24,80-84,4.808721198,27
23,500,2300500,Male,Other,12,65-69,3.164907227,12
23,200,2300200,Male,Other,3,70-74,13.93790285,30
23,300,2300300,Female,Other,14,65-69,2.860048137,14
23,300,2300300,Male,Other,12,65-69,3.164907227,15
23,500,2300500,Female,Other,14,85+,30.31559491,6
23,500,2300500,Male,Other,18,70-74,2.857667742,14
23,500,2300500,Female,Other,14,70-74,4.981624362,14
23,1000,2301000,Female,Hispanic,14,75-79,13.57186586,30
23,500,2300500,Male,Other,12,85+,32.56588642,90
23,500,2300500,Female,Other,16,70-74,4.008883577,68
23,600,2300600,Female,Other,18,70-74,3.219649661,21
23,600,2300600,Male,Other,12,75-79,9.154741059,21
23,500,2300500,Female,Other,16,70-74,4.008883577,19
23,500,2300500,Male,Other,16,70-74,3.561434185,19
23,100,2300100,Male,Other,11,65-69,3.532598484,21
23,200,2300200,Male,Other,12,70-74,5.499823433,13
23,200,2300200,Female,Other,12,70-74,6.175212911,10
23,100,2300100,Male,Other,11,65-69,3.532598484,17
23,100,2300100,Female,Other,12,65-69,3.564379297,15
23,100,2300100,Female,Other,12,70-74,6.175212911,3
23,100,2300100,Male,Other,10,70-74,6.808674751,4
23,100,2300100,Male,Other,14,65-69,2.537435845,2
23,500,2300500,Female,Other,16,70-74,4.008883577,9
23,700,2300700,Male,Other,12,65-69,3.164907227,8
23,900,2300900,Female,Other,16,65-69,2.291587488,14
23,600,2300600,Female,Other,12,75-79,10.23037239,28
23,700,2300700,Male,Other,16,70-74,3.561434185,8
23,700,2300700,Female,Other,18,70-74,3.219649661,8
23,100,2300100,Male,Other,14,70-74,4.43061433,5
23,300,2300300,Female,Other,8,75-79,15.22542985,6
23,700,2300700,Male,Other,16,75-79,6.010117428,18
23,800,2300800,Female,Other,14,70-74,4.981624362,31
23,800,2300800,Male,Hispanic,12,70-74,9.146427807,33
23,100,2300100,Male,Other,14,70-74,4.43061433,3
23,500,2300500,Female,Other,14,70-74,4.981624362,8
23,700,2300700,Male,Other,12,70-74,5.499823433,16
23,200,2300200,Male,Other,14,65-69,2.537435845,8
23,700,2300700,Female,Other,16,70-74,4.008883577,4
23,100,2300100,Male,Other,14,65-69,2.537435845,3
23,100,2300100,Male,Other,14,75-79,7.430859588,4
23,100,2300100,Female,Other,18,80-84,10.15452867,5
23,200,2300200,Male,Other,12,70-74,5.499823433,28
23,200,2300200,Female,Other,10,75-79,12.51590092,37
23,900,2300900,Female,Other,16,65-69,2.291587488,25
23,900,2300900,Male,Other,18,65-69,1.625171798,25
23,600,2300600,Female,Other,14,70-74,4.981624362,12
23,400,2300400,Female,Other,14,70-74,4.981624362,8
23,300,2300300,Female,Other,12,70-74,6.175212911,6
23,300,2300300,Male,Other,12,75-79,9.154741059,7
23,100,2300100,Male,Other,19,75-79,4.348477979,16
23,100,2300100,Female,Other,14,70-74,4.981624362,17
23,800,2300800,Female,Other,12,65-69,3.564379297,10
23,400,2300400,Female,Other,12,75-79,10.23037239,4
23,900,2300900,Female,Other,16,85+,25.73585981,23
23,900,2300900,Female,Other,12,75-79,10.23037239,25
23,800,2300800,Male,Other,14,65-69,2.537435845,17
23,800,2300800,Female,Other,12,85+,35.32267164,33
23,600,2300600,Female,Other,12,85+,35.32267164,21
23,600,2300600,Female,Other,18,65-69,1.833980414,10
23,600,2300600,Male,Other,18,75-79,4.846791248,9
23,100,2300100,Male,Other,14,70-74,4.43061433,4
23,100,2300100,Female,Hispanic,16,65-69,3.898763028,4
23,500,2300500,Female,Other,12,65-69,3.564379297,5
23,100,2300100,Female,Other,8,70-74,9.397581216,18
23,400,2300400,Female,Other,14,65-69,2.860048137,12
23,400,2300400,Male,Other,12,70-74,5.499823433,15
23,100,2300100,Male,Other,24,65-69,0.828115541,6
23,300,2300300,Female,Other,16,65-69,2.291587488,31
23,300,2300300,Male,Other,19,70-74,2.55836372,36
23,200,2300200,Female,Other,12,65-69,3.564379297,8
23,200,2300200,Male,Other,16,65-69,2.031756168,6
23,300,2300300,Male,Other,12,75-79,9.154741059,5
23,800,2300800,Female,Other,12,65-69,3.564379297,15
23,200,2300200,Female,Other,12,70-74,6.175212911,15
23,100,2300100,Female,Other,12,70-74,6.175212911,16
23,500,2300500,Female,Other,14,75-79,8.322500058,5
23,500,2300500,Male,Other,14,75-79,7.430859588,7
23,500,2300500,Male,Other,12,65-69,3.164907227,4
23,500,2300500,Female,Other,14,65-69,2.860048137,3
23,500,2300500,Female,Other,14,85+,30.31559491,7
23,1000,2301000,Male,Other,16,65-69,2.031756168,13
23,1000,2301000,Female,Other,14,65-69,2.860048137,12
23,200,2300200,Male,Other,19,65-69,1.453025048,4
23,200,2300200,Female,Other,14,65-69,2.860048137,4
23,700,2300700,Female,Other,12,65-69,3.564379297,6
23,700,2300700,Male,Other,14,75-79,7.430859588,5
23,500,2300500,Male,Other,14,65-69,2.537435845,13
23,500,2300500,Female,Other,18,75-79,5.446609089,18
23,800,2300800,Male,Other,18,75-79,4.846791248,20
23,800,2300800,Female,Other,16,65-69,2.291587488,21
23,700,2300700,Male,Other,18,70-74,2.857667742,3
23,700,2300700,Female,Other,16,70-74,4.008883577,4
23,200,2300200,Male,Other,16,70-74,3.561434185,22
23,200,2300200,Female,Other,11,70-74,6.867830308,17
23,700,2300700,Male,Other,12,70-74,5.499823433,21
23,100,2300100,Female,Other,14,75-79,8.322500058,4
23,100,2300100,Male,Other,12,75-79,9.154741059,2
23,500,2300500,Male,Other,18,75-79,4.846791248,37
23,200,2300200,Male,Other,14,65-69,2.537435845,10
23,200,2300200,Male,Other,10,80-84,19.88564172,6
23,500,2300500,Male,Other,12,80-84,16.50827556,4
23,500,2300500,Female,Other,12,80-84,18.27410738,7
23,200,2300200,Male,Other,12,65-69,3.164907227,18
23,500,2300500,Female,Other,16,70-74,4.008883577,13
23,500,2300500,Male,Other,14,65-69,2.537435845,12
23,100,2300100,Female,Other,12,75-79,10.23037239,7
23,100,2300100,Male,Other,12,80-84,16.50827556,6
23,100,2300100,Female,Other,12,70-74,6.175212911,5
23,900,2300900,Female,Other,14,70-74,4.981624362,26
23,500,2300500,Male,Other,18,70-74,2.857667742,6
23,500,2300500,Female,Other,18,70-74,3.219649661,7
23,200,2300200,Female,Other,14,80-84,15.11879158,28
23,500,2300500,Female,Other,14,70-74,4.981624362,10
23,500,2300500,Male,Hispanic,14,65-69,4.309429282,21
23,200,2300200,Female,Other,12,65-69,3.564379297,7
23,100,2300100,Female,Other,12,80-84,18.27410738,6
23,300,2300300,Female,Other,18,65-69,1.833980414,6
23,300,2300300,Male,Other,18,65-69,1.625171798,6
23,800,2300800,Female,Other,14,70-74,4.981624362,21
23,800,2300800,Male,Other,16,70-74,3.561434185,24
23,500,2300500,Male,Other,12,85+,32.56588642,10
23,500,2300500,Female,Other,12,80-84,18.27410738,15
23,200,2300200,Female,Other,14,65-69,2.860048137,7
23,400,2300400,Male,Other,16,65-69,2.031756168,8
23,900,2300900,Male,Other,12,75-79,9.154741059,24
23,900,2300900,Female,Other,11,75-79,11.32293042,23
23,300,2300300,Male,Other,12,65-69,3.164907227,20
23,200,2300200,Male,Other,12,65-69,3.164907227,21
23,200,2300200,Female,Other,12,65-69,3.564379297,22
23,900,2300900,Male,Other,14,70-74,4.43061433,29
23,600,2300600,Male,Other,8,75-79,13.70479135,24
23,600,2300600,Female,Other,12,75-79,10.23037239,23
23,400,2300400,Female,Other,14,65-69,2.860048137,6
23,400,2300400,Female,Other,12,85+,35.32267164,5
23,400,2300400,Male,Other,12,85+,32.56588642,5
23,200,2300200,Male,Other,12,65-69,3.164907227,3
23,500,2300500,Female,Other,16,65-69,2.291587488,22
23,500,2300500,Male,Other,16,70-74,3.561434185,18
23,600,2300600,Female,Other,12,85+,35.32267164,22
23,300,2300300,Female,Other,14,65-69,2.860048137,4
23,300,2300300,Male,Other,12,70-74,5.499823433,4
23,1000,2301000,Female,Other,18,80-84,10.15452867,11
23,300,2300300,Female,Other,12,70-74,6.175212911,7
23,800,2300800,Female,Other,12,85+,35.32267164,15
23,800,2300800,Male,Other,12,80-84,16.50827556,5
23,200,2300200,Female,Other,12,75-79,10.23037239,6
23,600,2300600,Male,Other,14,65-69,2.537435845,87
23,300,2300300,Female,Other,14,70-74,4.981624362,18
23,500,2300500,Female,Other,14,70-74,4.981624362,9
23,500,2300500,Female,Other,18,70-74,3.219649661,9
23,200,2300200,Female,Other,16,65-69,2.291587488,6
23,200,2300200,Male,Other,16,65-69,2.031756168,4
23,1000,2301000,Female,Other,14,75-79,8.322500058,21
23,900,2300900,Male,Hispanic,14,80-84,21.41121279,30
23,900,2300900,Female,Other,18,80-84,10.15452867,20
23,900,2300900,Female,Other,16,85+,25.73585981,20
23,700,2300700,Female,Other,14,80-84,15.11879158,15
23,200,2300200,Female,Other,12,70-74,6.175212911,24
23,200,2300200,Male,Other,12,70-74,5.499823433,21
23,500,2300500,Female,Other,14,80-84,15.11879158,9
23,500,2300500,Male,Other,18,80-84,9.086064505,10
23,300,2300300,Male,Other,12,70-74,5.499823433,38
23,800,2300800,Male,Other,14,70-74,4.43061433,17
23,800,2300800,Female,Other,14,65-69,2.860048137,16
23,200,2300200,Female,Other,12,80-84,18.27410738,27
23,300,2300300,Female,Other,12,65-69,3.564379297,18
23,1000,2301000,Male,Other,12,65-69,3.164907227,16
23,100,2300100,Female,Other,12,65-69,3.564379297,5
23,100,2300100,Male,Other,12,70-74,5.499823433,4
23,200,2300200,Female,Other,12,75-79,10.23037239,29
23,200,2300200,Female,Other,12,85+,35.32267164,1
23,200,2300200,Female,Other,24,80-84,5.404095231,3
23,200,2300200,Male,Other,12,70-74,5.499823433,22
23,200,2300200,Female,Other,12,65-69,3.564379297,17
23,500,2300500,Male,Other,19,75-79,4.348477979,21
23,500,2300500,Female,Other,16,70-74,4.008883577,25
23,500,2300500,Male,Other,16,65-69,2.031756168,20
23,800,2300800,Female,Other,18,70-74,3.219649661,7
23,100,2300100,Female,Other,14,70-74,4.981624362,4
23,100,2300100,Female,Other,8,85+,46.25630518,3
23,100,2300100,Male,Other,14,65-69,2.537435845,6
23,100,2300100,Female,Other,14,65-69,2.860048137,5
23,1000,2301000,Female,Other,14,85+,30.31559491,15
23,600,2300600,Male,Other,14,70-74,4.43061433,30
23,600,2300600,Female,Other,14,70-74,4.981624362,24
23,800,2300800,Female,Other,16,75-79,6.743700149,75
23,800,2300800,Male,Other,14,75-79,7.430859588,62
23,900,2300900,Female,Other,16,65-69,2.291587488,25
23,800,2300800,Male,Other,12,65-69,3.164907227,25
23,400,2300400,Male,Other,16,70-74,3.561434185,30
23,200,2300200,Female,Other,16,75-79,6.743700149,7
23,100,2300100,Male,Other,12,65-69,3.164907227,13
23,400,2300400,Female,Other,14,65-69,2.860048137,9
23,400,2300400,Male,Other,12,70-74,5.499823433,9
23,200,2300200,Male,Other,12,85+,32.56588642,15
23,400,2300400,Female,Other,12,65-69,3.564379297,12
23,400,2300400,Male,Other,8,70-74,8.401315793,13
23,500,2300500,Male,Other,16,65-69,2.031756168,5
23,500,2300500,Female,Other,18,65-69,1.833980414,6
23,400,2300400,Female,Other,16,85+,25.73585981,14
23,700,2300700,Male,Other,12,70-74,5.499823433,11
23,1000,2301000,Female,Hispanic,14,70-74,8.314873378,30
23,1000,2301000,Male,Other,12,65-69,3.164907227,29
23,700,2300700,Female,Other,12,65-69,3.564379297,14
23,100,2300100,Female,Other,12,65-69,3.564379297,5
23,100,2300100,Male,Other,12,85+,32.56588642,4
23,100,2300100,Female,Other,8,65-69,5.504279998,12
23,500,2300500,Female,Other,16,75-79,6.743700149,81
23,500,2300500,Male,Other,14,65-69,2.537435845,7
23,700,2300700,Male,Other,18,80-84,9.086064505,7
23,700,2300700,Female,Other,24,75-79,2.82925258,7
23,500,2300500,Female,Other,16,80-84,12.42545854,16
23,500,2300500,Female,Other,16,70-74,4.008883577,39
23,500,2300500,Male,Other,16,70-74,3.561434185,7
23,500,2300500,Female,Other,14,80-84,15.11879158,10
23,300,2300300,Female,Other,14,85+,30.31559491,16
23,900,2300900,Male,Other,14,85+,27.78173331,13
23,900,2300900,Female,Other,12,85+,35.32267164,15
23,100,2300100,Male,Other,11,70-74,6.121631027,7
23,100,2300100,Female,Other,0,70-74,20.48399804,12
23,500,2300500,Female,Other,12,65-69,3.564379297,8
23,500,2300500,Male,Other,16,70-74,3.561434185,11
23,500,2300500,Female,Other,18,80-84,10.15452867,71
23,100,2300100,Male,Other,0,85+,65.4003878,2
23,500,2300500,Male,Other,16,65-69,2.031756168,6
23,500,2300500,Male,Other,14,65-69,2.537435845,24
23,600,2300600,Male,Other,12,65-69,3.164907227,31
23,500,2300500,Male,Other,12,65-69,3.164907227,23
23,300,2300300,Male,Other,12,65-69,3.164907227,26
23,300,2300300,Female,Black,12,65-69,8.448709075,23
23,200,2300200,Female,Other,14,70-74,4.981624362,9
23,400,2300400,Female,Other,12,70-74,6.175212911,22
23,600,2300600,Female,Other,5,75-79,20.1670585,56
23,100,2300100,Female,Other,14,65-69,2.860048137,24
23,500,2300500,Male,Other,16,65-69,2.031756168,14
23,600,2300600,Male,Other,14,70-74,4.43061433,32
23,600,2300600,Female,Other,14,70-74,4.981624362,25
23,500,2300500,Male,Other,14,65-69,2.537435845,6
23,500,2300500,Female,Other,12,65-69,3.564379297,8
23,1000,2301000,Female,Other,14,75-79,8.322500058,11
23,1000,2301000,Male,Other,14,80-84,13.60709407,12
23,800,2300800,Male,Other,18,65-69,1.625171798,20
23,100,2300100,Male,Other,14,65-69,2.537435845,4
23,100,2300100,Female,Other,14,65-69,2.860048137,4
23,100,2300100,Male,Other,12,85+,32.56588642,23
23,200,2300200,Male,Other,14,65-69,2.537435845,34
23,200,2300200,Female,Other,14,65-69,2.860048137,36
23,300,2300300,Female,Other,14,65-69,2.860048137,15
23,800,2300800,Female,Other,18,75-79,5.446609089,26
23,800,2300800,Male,Other,18,75-79,4.846791248,21
23,200,2300200,Female,Other,12,85+,35.32267164,3
23,200,2300200,Male,Other,12,85+,32.56588642,2
23,100,2300100,Male,Other,14,75-79,7.430859588,14
23,500,2300500,Male,Other,12,80-84,16.50827556,6
23,500,2300500,Female,Other,12,70-74,6.175212911,9
23,300,2300300,Female,Other,12,75-79,10.23037239,5
23,300,2300300,Male,Other,8,70-74,8.401315793,6
23,200,2300200,Male,Other,14,70-74,4.43061433,7
23,200,2300200,Male,Other,14,85+,27.78173331,8
23,100,2300100,Female,Other,12,65-69,3.564379297,22
23,100,2300100,Male,Other,12,65-69,3.164907227,24
23,100,2300100,Female,Other,11,70-74,6.867830308,8
23,900,2300900,Female,Other,14,65-69,2.860048137,26
23,500,2300500,Female,Other,14,75-79,8.322500058,21
23,500,2300500,Male,Other,12,70-74,5.499823433,7
23,500,2300500,Female,Hispanic,12,80-84,27.89078063,7
23,500,2300500,Male,Other,12,70-74,5.499823433,2
23,800,2300800,Male,Other,14,70-74,4.43061433,6
