FIPS,state2,stusab,puma,county,county1,tracta,year,male,female,white,black,asian,hispanic,indigenous,othermulti,65_and_66,67_to_69,70_to_74,75_to_79,80_to_84,85_and_over,65_to_69,total_population,male_proportion,female_proportion,white_proportion,black_proportion,asian_proportion,hispanic_proportion,indigenous_proportion,othermulti_proportion,65_and_66_proportion,67_to_69_proportion,70_to_74_proportion,75_to_79_proportion,80_to_84_proportion,85_and_over_proportion,65_to_69_proportion,alzheimer_probability,GISJOIN,YEAR,STUSAB,STATE,statea1,COUNTY,COUNTYA,tracta1,GEO_ID,TL_GEO_ID,NAME_E,AQ44E035,AQ44E036,AQ44E037,AQ44E038,AQ44E039,AQ44E040,AQ44E041,AQ44E042,AQ44E076,AQ44E077,AQ44E078,AQ44E079,AQ44E080,AQ44E081,AQ44E082,AQ44E083,NAME_M,edu09,edu12,edu14,edu16,edu19,total_edu_population,edu09_pro,edu12_pro,edu14_pro,edu16_pro,edu19_pro,education,percentage
23005000500,23,ME,1000,Cumberland County,5,500,2020,148,146,238,15,7,24,2,8,50,73,98,31,25,17,123,294,0.503401361,0.496598639,0.80952381,0.051020408,0.023809524,0.081632653,0.006802721,0.027210884,0.170068027,0.24829932,0.333333333,0.105442177,0.085034014,0.057823129,0.418367347,6.400434492,G2300050000500,2018-2022,ME,Maine,23,Cumberland County,5,500,1400000US23005000500,23005000500,"Census Tract 5, Cumberland County, Maine",151,0,9,43,44,0,18,37,188,0,22,47,0,21,30,68,"Census Tract 5, Cumberland County, Maine",0,121,65,48,105,339,0,0.356932153,0.191740413,0.14159292,0.309734513,15.11799409,4.6
23005000500,23,ME,1000,Cumberland County,5,500,2020,148,146,238,15,7,24,2,8,50,73,98,31,25,17,123,294,0.503401361,0.496598639,0.80952381,0.051020408,0.023809524,0.081632653,0.006802721,0.027210884,0.170068027,0.24829932,0.333333333,0.105442177,0.085034014,0.057823129,0.418367347,6.400434492,G2300190000500,2018-2022,ME,Maine,23,Penobscot County,19,500,1400000US23019000500,23019000500,"Census Tract 5, Penobscot County, Maine",181,0,34,91,21,0,20,15,298,0,26,73,87,100,0,12,"Census Tract 5, Penobscot County, Maine",0,224,208,20,27,479,0,0.467640919,0.434237996,0.041753653,0.056367432,13.43006263,5.5
23019000500,23,ME,300,Penobscot County,19,500,2020,261,290,519,2,5,6,4,15,103,109,146,85,59,49,212,551,0.473684211,0.526315789,0.941923775,0.003629764,0.00907441,0.010889292,0.007259528,0.02722323,0.186932849,0.197822142,0.264972777,0.154264973,0.10707804,0.08892922,0.384754991,6.772603344,G2300050000500,2018-2022,ME,Maine,23,Cumberland County,5,500,1400000US23005000500,23005000500,"Census Tract 5, Cumberland County, Maine",151,0,9,43,44,0,18,37,188,0,22,47,0,21,30,68,"Census Tract 5, Cumberland County, Maine",0,121,65,48,105,339,0,0.356932153,0.191740413,0.14159292,0.309734513,15.11799409,4.8
23019000500,23,ME,300,Penobscot County,19,500,2020,261,290,519,2,5,6,4,15,103,109,146,85,59,49,212,551,0.473684211,0.526315789,0.941923775,0.003629764,0.00907441,0.010889292,0.007259528,0.02722323,0.186932849,0.197822142,0.264972777,0.154264973,0.10707804,0.08892922,0.384754991,6.772603344,G2300190000500,2018-2022,ME,Maine,23,Penobscot County,19,500,1400000US23019000500,23019000500,"Census Tract 5, Penobscot County, Maine",181,0,34,91,21,0,20,15,298,0,26,73,87,100,0,12,"Census Tract 5, Penobscot County, Maine",0,224,208,20,27,479,0,0.467640919,0.434237996,0.041753653,0.056367432,13.43006263,5.8
23005000600,23,ME,1000,Cumberland County,5,600,2020,143,152,239,27,11,7,1,10,50,79,79,41,30,16,129,295,0.484745763,0.515254237,0.810169492,0.091525424,0.037288136,0.023728814,0.003389831,0.033898305,0.169491525,0.26779661,0.26779661,0.138983051,0.101694915,0.054237288,0.437288136,6.569690068,G2300050000600,2018-2022,ME,Maine,23,Cumberland County,5,600,1400000US23005000600,23005000600,"Census Tract 6, Cumberland County, Maine",286,22,0,64,0,6,0,194,198,6,8,16,20,0,74,74,"Census Tract 6, Cumberland County, Maine",28,88,26,74,268,484,0.05785124,0.181818182,0.053719008,0.152892562,0.553719008,16.4214876,4.1
23005000600,23,ME,1000,Cumberland County,5,600,2020,143,152,239,27,11,7,1,10,50,79,79,41,30,16,129,295,0.484745763,0.515254237,0.810169492,0.091525424,0.037288136,0.023728814,0.003389831,0.033898305,0.169491525,0.26779661,0.26779661,0.138983051,0.101694915,0.054237288,0.437288136,6.569690068,G2300190000600,2018-2022,ME,Maine,23,Penobscot County,19,600,1400000US23019000600,23019000600,"Census Tract 6, Penobscot County, Maine",88,0,0,35,0,0,44,9,123,0,0,37,23,15,48,0,"Census Tract 6, Penobscot County, Maine",0,72,38,92,9,211,0,0.341232227,0.180094787,0.436018957,0.042654028,14.40284359,5.1
23019000600,23,ME,300,Penobscot County,19,600,2020,114,139,238,2,0,5,5,3,43,46,82,40,24,18,89,253,0.450592885,0.549407115,0.940711462,0.007905138,0,0.019762846,0.019762846,0.011857708,0.169960474,0.181818182,0.324110672,0.158102767,0.09486166,0.071146245,0.351778656,6.648527237,G2300050000600,2018-2022,ME,Maine,23,Cumberland County,5,600,1400000US23005000600,23005000600,"Census Tract 6, Cumberland County, Maine",286,22,0,64,0,6,0,194,198,6,8,16,20,0,74,74,"Census Tract 6, Cumberland County, Maine",28,88,26,74,268,484,0.05785124,0.181818182,0.053719008,0.152892562,0.553719008,16.4214876,4.1
23019000600,23,ME,300,Penobscot County,19,600,2020,114,139,238,2,0,5,5,3,43,46,82,40,24,18,89,253,0.450592885,0.549407115,0.940711462,0.007905138,0,0.019762846,0.019762846,0.011857708,0.169960474,0.181818182,0.324110672,0.158102767,0.09486166,0.071146245,0.351778656,6.648527237,G2300190000600,2018-2022,ME,Maine,23,Penobscot County,19,600,1400000US23019000600,23019000600,"Census Tract 6, Penobscot County, Maine",88,0,0,35,0,0,44,9,123,0,0,37,23,15,48,0,"Census Tract 6, Penobscot County, Maine",0,72,38,92,9,211,0,0.341232227,0.180094787,0.436018957,0.042654028,14.40284359,5.1
23019000700,23,ME,300,Penobscot County,19,700,2020,235,285,499,6,3,4,1,7,77,83,159,87,49,65,160,520,0.451923077,0.548076923,0.959615385,0.011538462,0.005769231,0.007692308,0.001923077,0.013461538,0.148076923,0.159615385,0.305769231,0.167307692,0.094230769,0.125,0.307692308,7.57351857,G2300190000700,2018-2022,ME,Maine,23,Penobscot County,19,700,1400000US23019000700,23019000700,"Census Tract 7, Penobscot County, Maine",311,0,0,55,27,13,140,76,445,0,10,122,10,147,50,106,"Census Tract 7, Penobscot County, Maine",0,187,197,190,182,756,0,0.247354497,0.260582011,0.251322751,0.240740741,15.21164021,5.4
23019000900,23,ME,300,Penobscot County,19,900,2020,461,697,1107,9,12,6,0,24,122,190,266,186,167,227,312,1158,0.398100173,0.601899827,0.955958549,0.007772021,0.010362694,0.005181347,0,0.020725389,0.105354059,0.164075993,0.22970639,0.160621762,0.144214162,0.196027634,0.269430052,9.362743913,G2300190000900,2018-2022,ME,Maine,23,Penobscot County,19,900,1400000US23019000900,23019000900,"Census Tract 9, Penobscot County, Maine",455,5,15,210,28,15,154,28,769,31,54,356,128,47,137,16,"Census Tract 9, Penobscot County, Maine",36,635,218,291,44,1224,0.029411765,0.51879085,0.178104575,0.237745098,0.035947712,13.47058823,8.0
23005001000,23,ME,1000,Cumberland County,5,1000,2020,100,95,158,12,5,9,0,11,40,46,54,31,17,7,86,195,0.512820513,0.487179487,0.81025641,0.061538462,0.025641026,0.046153846,0,0.056410256,0.205128205,0.235897436,0.276923077,0.158974359,0.087179487,0.035897436,0.441025641,6.174016042,G2300050001000,2018-2022,ME,Maine,23,Cumberland County,5,1000,1400000US23005001000,23005001000,"Census Tract 10, Cumberland County, Maine",92,12,0,0,19,24,10,27,45,0,8,8,19,0,10,0,"Census Tract 10, Cumberland County, Maine",12,16,62,20,27,137,0.087591241,0.116788321,0.452554745,0.145985401,0.197080292,14.60583942,4.7
23005001100,23,ME,1000,Cumberland County,5,1100,2020,199,270,416,27,9,7,2,8,41,81,116,83,44,104,122,469,0.424307036,0.575692964,0.886993603,0.057569296,0.019189765,0.014925373,0.004264392,0.017057569,0.087420043,0.172707889,0.247334755,0.176972281,0.093816631,0.221748401,0.260127932,9.838374158,G2300050001100,2018-2022,ME,Maine,23,Cumberland County,5,1100,1400000US23005001100,23005001100,"Census Tract 11, Cumberland County, Maine",125,0,0,39,9,0,35,42,358,8,0,63,75,85,66,61,"Census Tract 11, Cumberland County, Maine",8,102,169,101,103,483,0.016563147,0.211180124,0.34989648,0.209109731,0.213250518,14.97929607,7.2
23005001200,23,ME,1000,Cumberland County,5,1200,2020,41,60,93,2,0,3,0,3,21,23,37,9,3,8,44,101,0.405940594,0.594059406,0.920792079,0.01980198,0,0.02970297,0,0.02970297,0.207920792,0.227722772,0.366336634,0.089108911,0.02970297,0.079207921,0.435643564,5.901977846,G2300050001200,2018-2022,ME,Maine,23,Cumberland County,5,1200,1400000US23005001200,23005001200,"Census Tract 12, Cumberland County, Maine",56,0,0,0,0,2,29,25,82,0,8,10,0,3,38,23,"Census Tract 12, Cumberland County, Maine",0,18,5,67,48,138,0,0.130434783,0.036231884,0.485507246,0.347826087,16.44927536,3.6
23005001300,23,ME,1000,Cumberland County,5,1300,2020,240,265,440,19,8,17,2,19,85,111,170,79,37,23,196,505,0.475247525,0.524752475,0.871287129,0.037623762,0.015841584,0.033663366,0.003960396,0.037623762,0.168316832,0.21980198,0.336633663,0.156435644,0.073267327,0.045544554,0.388118812,6.223012671,G2300050001300,2018-2022,ME,Maine,23,Cumberland County,5,1300,1400000US23005001300,23005001300,"Census Tract 13, Cumberland County, Maine",190,0,0,41,12,30,32,75,281,2,0,51,55,12,61,100,"Census Tract 13, Cumberland County, Maine",2,92,109,93,175,471,0.004246285,0.195329087,0.231422505,0.197452229,0.371549894,15.84076433,4.1
23005001500,23,ME,1000,Cumberland County,5,1500,2020,193,296,451,10,9,11,1,7,77,97,128,84,58,45,174,489,0.394683027,0.605316973,0.922290389,0.020449898,0.018404908,0.022494888,0.00204499,0.014314928,0.157464213,0.198364008,0.261758691,0.171779141,0.118609407,0.09202454,0.355828221,7.28488363,G2300050001500,2018-2022,ME,Maine,23,Cumberland County,5,1500,1400000US23005001500,23005001500,"Census Tract 15, Cumberland County, Maine",145,0,0,8,8,19,51,59,222,0,0,53,41,19,53,56,"Census Tract 15, Cumberland County, Maine",0,61,87,104,115,367,0,0.166212534,0.237057221,0.283378747,0.313351499,15.80108994,4.9
23005001700,23,ME,1000,Cumberland County,5,1700,2020,313,423,690,15,15,3,0,13,117,156,207,120,62,74,273,736,0.425271739,0.574728261,0.9375,0.020380435,0.020380435,0.004076087,0,0.017663043,0.158967391,0.211956522,0.28125,0.163043478,0.08423913,0.100543478,0.370923913,6.945028034,G2300050001700,2018-2022,ME,Maine,23,Cumberland County,5,1700,1400000US23005001700,23005001700,"Census Tract 17, Cumberland County, Maine",290,0,14,10,62,2,47,155,296,1,10,49,25,21,81,109,"Census Tract 17, Cumberland County, Maine",1,83,110,128,264,586,0.001706485,0.141638225,0.187713311,0.218430034,0.450511945,16.39761092,4.3
23005001800,23,ME,1000,Cumberland County,5,1800,2020,314,474,744,12,8,12,1,11,94,140,195,114,83,162,234,788,0.398477157,0.601522843,0.944162437,0.015228426,0.010152284,0.015228426,0.001269036,0.013959391,0.11928934,0.177664975,0.247461929,0.144670051,0.105329949,0.205583756,0.296954315,9.031305272,G2300050001800,2018-2022,ME,Maine,23,Cumberland County,5,1800,1400000US23005001800,23005001800,"Census Tract 18, Cumberland County, Maine",419,28,0,49,33,0,106,203,585,0,21,100,41,37,219,167,"Census Tract 18, Cumberland County, Maine",28,170,111,325,370,1004,0.027888446,0.169322709,0.110557769,0.323705179,0.368525896,16.01195218,5.9
23005001900,23,ME,1000,Cumberland County,5,1900,2020,326,468,748,9,14,1,2,20,123,143,208,142,86,92,266,794,0.410579345,0.589420655,0.942065491,0.011335013,0.017632242,0.001259446,0.002518892,0.025188917,0.154911839,0.180100756,0.261964736,0.17884131,0.108312343,0.115869018,0.335012594,7.502723602,G2300050001900,2018-2022,ME,Maine,23,Cumberland County,5,1900,1400000US23005001900,23005001900,"Census Tract 19, Cumberland County, Maine",355,0,11,30,56,0,177,81,461,0,19,68,69,46,149,110,"Census Tract 19, Cumberland County, Maine",0,128,171,326,191,816,0,0.156862745,0.209558824,0.399509804,0.234068627,15.65563725,5.1
23019002000,23,ME,300,Penobscot County,19,2000,2020,647,765,1373,1,4,8,3,23,192,288,398,229,155,150,480,1412,0.458215297,0.541784703,0.972379603,0.000708215,0.002832861,0.005665722,0.002124646,0.016288952,0.135977337,0.203966006,0.281869688,0.162181303,0.109773371,0.106232295,0.339943343,7.204602038,G2300190002000,2018-2022,ME,Maine,23,Penobscot County,19,2000,1400000US23019002000,23019002000,"Census Tract 20, Penobscot County, Maine",679,66,0,101,125,88,232,67,755,0,0,308,176,70,127,74,"Census Tract 20, Penobscot County, Maine",66,409,459,359,141,1434,0.046025105,0.285216179,0.320083682,0.250348675,0.09832636,14.19177128,5.7
23005002001,23,ME,1000,Cumberland County,5,2001,2020,345,456,720,7,46,10,0,18,124,149,161,141,98,128,273,801,0.43071161,0.56928839,0.898876404,0.008739076,0.057428215,0.012484395,0,0.02247191,0.154806492,0.186017478,0.200998752,0.176029963,0.122347066,0.15980025,0.34082397,8.27628309,G2300050002001,2018-2022,ME,Maine,23,Cumberland County,5,2001,1400000US23005002001,23005002001,"Census Tract 20.01, Cumberland County, Maine",283,49,31,80,20,4,37,62,376,7,4,186,75,27,35,42,"Census Tract 20.01, Cumberland County, Maine",56,301,126,72,104,659,0.084977238,0.456752656,0.191198786,0.109256449,0.157814871,13.66919575,6.9
23005002002,23,ME,1000,Cumberland County,5,2002,2020,171,187,324,5,9,5,1,14,67,78,99,56,36,22,145,358,0.477653631,0.522346369,0.905027933,0.01396648,0.025139665,0.01396648,0.002793296,0.039106145,0.187150838,0.217877095,0.276536313,0.156424581,0.100558659,0.061452514,0.405027933,6.367767816,G2300050002002,2018-2022,ME,Maine,23,Cumberland County,5,2002,1400000US23005002002,23005002002,"Census Tract 20.02, Cumberland County, Maine",185,3,17,22,20,8,68,47,147,0,0,30,15,7,28,67,"Census Tract 20.02, Cumberland County, Maine",3,69,50,96,114,332,0.009036145,0.207831325,0.15060241,0.289156627,0.343373494,15.83433736,4.2
23005002101,23,ME,1000,Cumberland County,5,2101,2020,475,585,1016,15,11,3,2,13,168,221,288,150,123,110,389,1060,0.448113208,0.551886792,0.958490566,0.014150943,0.010377358,0.002830189,0.001886792,0.012264151,0.158490566,0.208490566,0.271698113,0.141509434,0.116037736,0.103773585,0.366981132,7.121464049,G2300050002101,2018-2022,ME,Maine,23,Cumberland County,5,2101,1400000US23005002101,23005002101,"Census Tract 21.01, Cumberland County, Maine",496,0,14,88,72,69,152,101,601,16,0,118,139,0,200,128,"Census Tract 21.01, Cumberland County, Maine",16,220,280,352,229,1097,0.014585232,0.200546946,0.255241568,0.320875114,0.208751139,15.21148586,5.1
23005002102,23,ME,1000,Cumberland County,5,2102,2020,275,351,537,21,31,15,4,18,115,121,160,109,69,52,236,626,0.439297125,0.560702875,0.857827476,0.033546326,0.049520767,0.023961661,0.006389776,0.028753994,0.18370607,0.193290735,0.255591054,0.174121406,0.110223642,0.083067093,0.376996805,7.066172869,G2300050002102,2018-2022,ME,Maine,23,Cumberland County,5,2102,1400000US23005002102,23005002102,"Census Tract 21.02, Cumberland County, Maine",340,0,0,55,119,144,22,0,653,62,0,303,245,0,0,43,"Census Tract 21.02, Cumberland County, Maine",62,358,508,22,43,993,0.062437059,0.360523666,0.511581067,0.022155086,0.043303122,13.22759316,6.2
23005002200,23,ME,1000,Cumberland County,5,2200,2020,524,1056,1503,23,30,10,1,13,130,206,291,233,212,508,336,1580,0.33164557,0.66835443,0.951265823,0.014556962,0.018987342,0.006329114,0.000632911,0.008227848,0.082278481,0.130379747,0.184177215,0.147468354,0.134177215,0.321518987,0.212658228,12.17121892,G2300050002200,2018-2022,ME,Maine,23,Cumberland County,5,2200,1400000US23005002200,23005002200,"Census Tract 22, Cumberland County, Maine",484,7,2,122,105,27,65,156,888,11,0,348,186,17,139,187,"Census Tract 22, Cumberland County, Maine",18,472,335,204,343,1372,0.013119534,0.344023324,0.244169096,0.148688047,0.25,14.79373179,9.2
23005002300,23,ME,1000,Cumberland County,5,2300,2020,231,301,475,16,14,9,1,17,92,96,140,75,51,78,188,532,0.434210526,0.565789474,0.892857143,0.030075188,0.026315789,0.016917293,0.001879699,0.031954887,0.172932331,0.180451128,0.263157895,0.140977444,0.095864662,0.146616541,0.353383459,7.794215743,G2300050002300,2018-2022,ME,Maine,23,Cumberland County,5,2300,1400000US23005002300,23005002300,"Census Tract 23, Cumberland County, Maine",224,17,0,54,20,8,67,58,275,77,11,70,17,52,18,30,"Census Tract 23, Cumberland County, Maine",94,135,97,85,88,499,0.188376754,0.270541082,0.194388778,0.170340681,0.176352705,13.73947895,6.5
23005002400,23,ME,1000,Cumberland County,5,2400,2020,212,248,450,2,1,1,1,5,78,106,136,74,32,34,184,460,0.460869565,0.539130435,0.97826087,0.004347826,0.002173913,0.002173913,0.002173913,0.010869565,0.169565217,0.230434783,0.295652174,0.160869565,0.069565217,0.073913043,0.4,6.253097173,G2300050002400,2018-2022,ME,Maine,23,Cumberland County,5,2400,1400000US23005002400,23005002400,"Census Tract 24, Cumberland County, Maine",231,0,2,35,37,5,70,82,268,0,7,24,33,23,87,94,"Census Tract 24, Cumberland County, Maine",0,68,98,157,176,499,0,0.136272545,0.196392786,0.314629259,0.352705411,16.1202405,4.0
23005002501,23,ME,900,Cumberland County,5,2501,2020,413,644,1032,2,1,5,2,15,127,161,268,206,128,167,288,1057,0.390728477,0.609271523,0.976348155,0.001892148,0.000946074,0.004730369,0.001892148,0.014191107,0.120151372,0.152317881,0.253547777,0.194891202,0.121097446,0.157994324,0.272469253,8.576023928,G2300050002501,2018-2022,ME,Maine,23,Cumberland County,5,2501,1400000US23005002501,23005002501,"Census Tract 25.01, Cumberland County, Maine",403,0,0,47,42,22,149,143,680,0,10,203,27,55,92,293,"Census Tract 25.01, Cumberland County, Maine",0,260,146,241,436,1083,0,0.240073869,0.134810711,0.222530009,0.402585411,15.97783934,5.6
23005002503,23,ME,900,Cumberland County,5,2503,2020,332,315,622,2,7,4,0,12,112,141,164,114,60,56,253,647,0.513137558,0.486862442,0.961360124,0.00309119,0.010819165,0.00618238,0,0.018547141,0.173106646,0.217928903,0.253477589,0.176197836,0.092735703,0.086553323,0.391035549,6.634541823,G2300050002503,2018-2022,ME,Maine,23,Cumberland County,5,2503,1400000US23005002503,23005002503,"Census Tract 25.03, Cumberland County, Maine",261,0,0,70,0,12,65,114,388,1,37,139,39,0,77,95,"Census Tract 25.03, Cumberland County, Maine",1,246,51,142,209,649,0.001540832,0.379044684,0.078582435,0.218798151,0.322033898,15.28197226,4.7
23005002504,23,ME,900,Cumberland County,5,2504,2020,492,678,1121,3,19,8,3,16,105,179,245,207,180,254,284,1170,0.420512821,0.579487179,0.958119658,0.002564103,0.016239316,0.006837607,0.002564103,0.013675214,0.08974359,0.152991453,0.209401709,0.176923077,0.153846154,0.217094017,0.242735043,10.01073401,G2300050002504,2018-2022,ME,Maine,23,Cumberland County,5,2504,1400000US23005002504,23005002504,"Census Tract 25.04, Cumberland County, Maine",472,0,0,61,37,37,237,100,604,0,0,120,63,88,98,235,"Census Tract 25.04, Cumberland County, Maine",0,181,225,335,335,1076,0,0.168215613,0.209107807,0.31133829,0.31133829,15.8429368,6.7
23005002600,23,ME,1000,Cumberland County,5,2600,2020,409,494,861,5,17,8,2,10,107,162,281,175,102,76,269,903,0.452934662,0.547065338,0.953488372,0.005537099,0.018826135,0.008859358,0.002214839,0.011074197,0.118493909,0.179401993,0.311184939,0.19379845,0.112956811,0.084163898,0.297895903,7.242358391,G2300050002600,2018-2022,ME,Maine,23,Cumberland County,5,2600,1400000US23005002600,23005002600,"Census Tract 26, Cumberland County, Maine",398,20,17,90,64,63,62,82,413,0,0,116,104,98,44,51,"Census Tract 26, Cumberland County, Maine",20,223,329,106,133,811,0.024660912,0.274969174,0.40567201,0.130702836,0.163995068,14.4081381,5.6
